IGBP_Class	Canopy_Upper	Canopy_Lower	Canopy_Radius	COI	c_biomass	d_leaf	root_a	root_b	root_d	liq_bioms	slatop	stem_num	Z0sub_LAImax	Z0sub_Cs	Z0sub_Cr	Z0sub_c	Z0sub_cw	smpsc	smpso	Trunk_dia	landtype	Ctype	froot_leaf	theta_cj	kcano_max	kroot_max	matric50	leaf_CN	SLA_top	fN_rub	medlynint	medlynslope	JAN_LAI	FEB_LAI	MAR_LAI	APR_LAI	MAY_LAI	JUN_LAI	JUL_LAI	AUG_LAI	SEP_LAI	OCT_LAI	NOV_LAI	DEC_LAI	JAN_SAI	FEB_SAI	MAR_SAI	APR_SAI	MAY_SAI	JUN_SAI	JUL_SAI	AUG_SAI	SEP_SAI	OCT_SAI	NOV_SAI	DEC_SAI	JAN_FCAN	FEB_FCAN	MAR_FCAN	APR_FCAN	MAY_FCAN	JUN_FCAN	JUL_FCAN	AUG_FCAN	SEP_FCAN	OCT_FCAN	NOV_FCAN	DEC_FCAN	reflleaf_VIS	reflleaf_NIR	reflstem_VIS	reflstem_NIR	transleaf_VIS	transleaf_NIR	transstem_VIS	transstem_NIR	COMMENT
0	20	8.5	1.2	0.01	0.02	0.04	6.706	2.175	1.8	0.45	0.008	0.08	4.55	0.003	0.05	0.09	9	-255	-66	0.3	SOIL	C3	1.5	0.98	1.60E-08	1.49E-10	-530	75.32	0.0075	0.051	100	3.1	4	4	4	4	4	4	4	4	4	4	4	4	0.4	0.4	0.4	0.3	0.4	0.5	0.5	0.6	0.6	0.7	0.6	0.5	0.719	0.714	0.687	0.715	0.719	0.769	0.791	0.784	0.811	0.827	0.794	0.796	0.07	0.35	0.16	0.39	0.05	0.1	0.001	0.001	EvergreenNeedleleaf
1	20	8	3.6	0.01	0.02	0.04	7.344	1.303	3	0.6	0.018	0.05	7.87	0.01	0.14	0.01	3	-255	-66	0.4	SOIL	C3	1.5	0.98	3.32E-08	1.66E-10	-250	21.62	0.017	0.046	100	6.62	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.772	0.761	0.782	0.821	0.8	0.803	0.792	0.795	0.822	0.82	0.812	0.781	0.1	0.45	0.16	0.39	0.05	0.25	0.001	0.001	EvergreenBroadleaf
2	18	7	1.2	0.01	0.02	0.04	7.066	1.953	2	0.45	0.02	0.08	4.55	0.003	0.05	0.09	9	-255	-66	0.3	SOIL	C3	0.75	0.98	1.79E-08	1.08E-10	-380	25.81	0.0202	0.055	100	2.35	0	0	0	0.6	1.2	2	2.6	1.7	1	0.5	0.2	0	0.3	0.3	0.3	0.3	0.3	0.7	1.3	1.2	1	0.8	0.6	0.5	0.356	0.326	0.297	0.418	0.513	0.653	0.742	0.769	0.755	0.662	0.469	0.439	0.07	0.35	0.16	0.39	0.05	0.1	0.001	0.001	DeciduousNeedleleaf
3	16	11.5	1.4	0.25	0.02	0.04	5.99	1.955	2	0.6	0.031	0.06	8.88	0.013	0.13	0.06	1	-224	-35	0.3	SOIL	C3	0.75	0.98	4.03E-08	1.04E-10	-270	23.45	0.0308	0.101	100	4.45	0	0	0.3	1.2	3	4.7	4.5	3.4	1.2	0.3	0	0	0.4	0.4	0.4	0.4	0.4	0.4	0.9	1.2	1.6	1.4	0.6	0.4	0.382	0.347	0.338	0.48	0.571	0.682	0.743	0.78	0.766	0.657	0.48	0.431	0.1	0.45	0.16	0.39	0.05	0.25	0.001	0.001	DeciduousBroadleaf
4	16	10	1.4	0.25	0.02	0.04	4.453	1.631	2.4	0.6	0.02	0.05	7.87	0.01	0.14	0.01	3	-255	-66	0.4	SOIL	C3	1.5	0.98	3.31728E-08	1.66096E-10	-250	21.62	0.017	0.046	100	6.62	2	2	2.2	2.6	3.5	4.3	4.3	3.7	2.6	2.2	2	2	0.4	0.4	0.4	0.4	0.4	0.4	0.7	0.8	1	1	0.5	0.4	0.599	0.559	0.545	0.603	0.654	0.743	0.773	0.782	0.796	0.769	0.712	0.661	0.1	0.45	0.16	0.39	0.05	0.25	0.001	0.001	MixedForest
5	1.1	0.1	0.12	0.01	0.02	0.04	6.326	1.567	2.5	0.5	0.031	0.5	3.07	0.001	0.06	0.12	20	-428	-83	0.05	SOIL	C3	1.5	0.98	1.15E-08	1.03E-09	-400	36.42	0.018	0.052	100	4.7	0	0	0.3	0.9	2.2	3.5	3.5	2.5	0.9	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0.6	0.9	1.2	0.9	0.4	0.3	0.219	0.202	0.203	0.383	0.415	0.313	0.234	0.219	0.228	0.399	0.466	0.315	0.07	0.35	0.16	0.39	0.05	0.1	0.001	0.001	ClosedShrub
6	1.1	0.1	0.12	0.01	0.02	0.04	7.718	1.262	3.1	0.5	0.018	0.5	3.07	0.001	0.06	0.12	20	-428	-83	0.05	SOIL	C3	1.2	0.98	2.52E-09	3.78E-08	-390	23.56	0.0307	0.094	100	4.7	0	0	0.2	0.6	1.5	2.3	2.3	1.7	0.6	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0.4	0.6	0.8	0.7	0.3	0.2	0.073	0.094	0.1	0.102	0.125	0.284	0.334	0.357	0.301	0.146	0.082	0.069	0.07	0.35	0.16	0.39	0.05	0.1	0.001	0.001	OpenShrub
7	13	0.1	0.12	0.01	0.02	0.04	7.604	2.3	1.7	0.7	0.017	0.05	4.61	0.001	0.04	0.08	19	-275	-74	0.008	SOIL	C3	1.5	0.98	2.41E-09	8.05E-11	-340	26.71	0.0182	0.137	100	2.22	0.2	0.2	0.4	1	2.4	4.1	4.1	2.7	1	0.4	0.2	0.2	0.4	0.4	0.4	0.4	0.4	0.4	0.7	1.2	1.4	1.1	0.5	0.4	0.296	0.283	0.303	0.357	0.426	0.552	0.603	0.617	0.59	0.501	0.412	0.338	0.07	0.35	0.16	0.39	0.05	0.1	0.001	0.001	Savannas
8	10	0.1	3	0.01	0.02	0.04	8.235	1.627	2.4	0.6	0.019	0.05	7.87	0.01	0.14	0.01	3	-255	-66	0.4	SOIL	C3	1.5	0.98	3.31728E-08	1.66096E-10	-250	21.62	0.017	0.046	100	6.62	0.3	0.3	0.5	0.8	1.8	3.6	3.8	2.1	0.9	0.5	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.4	0.8	1.2	1.3	0.7	0.4	0.4	0.501	0.48	0.486	0.547	0.587	0.664	0.693	0.699	0.693	0.644	0.573	0.529	0.1	0.45	0.16	0.39	0.05	0.25	0.001	0.001	WoodySavannas
9	1	0.05	0.03	-0.3	0.02	0.04	10.74	2.608	1.5	0.7	0.04	100	4.61	0.001	0.04	0.08	19	-275	-74	0.008	SOIL	C3	1.5	0.98	2.414E-09	2.08E-08	-340	21.62	0.0402	0.137	100	5.25	0.4	0.5	0.6	0.7	1.2	3	3.5	1.5	0.7	0.6	0.5	0.4	0.3	0.3	0.3	0.3	0.3	0.4	0.8	1.3	1.1	0.4	0.4	0.4	0.144	0.145	0.15	0.168	0.175	0.236	0.293	0.334	0.328	0.243	0.183	0.156	0.11	0.58	0.36	0.58	0.07	0.25	0.22	0.38	Grasslands
